Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Jumper Wires & Breadboard Kit","Necessary for prototyping the physical connections between the FPGA, the logic analyzer, and external peripherals.",1,9.89,"https://www.amazon.com/Prdiozyn-Breadborad001/dp/B0G7CSPV18/ref=sr_1_7_sspa?__mk_es_US=ÅMÅŽÕÑ&crid=220ZZBSGAWS77&dib=eyJ2IjoiMSJ9.Vv3tegudNxfSdAaNyUmfptnTRKoXF2vG98TDbU-LErmZlKUDdTVqkeNumVJlpAQywvRu6PBXyKP-iAJsqirWsLAoTRdyO5q9qllXHRO9EgDC8RTgU41YndjKLwLVh4qLoR5c5tk0ZWcxB0pTxfgH6xFlyXeKvNjy_gikVmsS6o8dqdPCq4D9ZgEriqvAAZkTfxpaFdbyUR0xTASC1Kl4nqRGGLR-2t_XmhHG3152Svw.2hUG9EoulJXk4q1fnK_57fUtZRCz2BUG0oaKv6_UpFg&dib_tag=se&keywords=Jumper+Wires+%26+Breadboard+Kit&qid=1773502078&sprefix=jumper+wires+%26+breadboard+kit%2Caps%2C333&sr=8-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1","Amazon"
"0.96"" OLED Display (SPI/I2C)","eripheral for the LX32 SoC. Will be used to develop the first hardware drivers and display system status directly from the CPU.",1,14.22,"https://www.amazon.com/pulgadas-pantalla-autoluminosa-compatible-Raspberry/dp/B09T6SJBV5/ref=sr_1_1_sspa?__mk_es_US=ÅMÅŽÕÑ&crid=1U84GY1STZS89&dib=eyJ2IjoiMSJ9.Av2lkLGBWPhH2qBAbn1mSNrpQfT7Adc2cgENQ7h3tlX4_0T06BFWpd2v7jx2iUymwD4_3kqZOm9VIM9ToRgAe2smiVlTRVZ_AjLckXDayJyb68LbNIdTlXofqdIxRAYhim7TnK7Axfqe10oUmO2E3gqbREw9sLOOhYK5nJwxpxgEvZYrnHB4s48nL1fGBzbEEEqcPICOOOogpEl5oYWBk_Taan_xnIhlsTGkMY0Ob-0.GL-L_96lq41FTcMSqmSnuRaLfGtYpkxGCoqs8JvCe2E&dib_tag=se&keywords=0.96%22%2BOLED%2BDisplay%2B(SPI%2FI2C)&qid=1773501994&sprefix=0.96%2Boled%2Bdisplay%2Bspi%2Fi2c%2B%2Caps%2C286&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","Amazon"
"Digital Logic Analyzer (8CH/24MHz)","Essential for hardware debugging. Used to capture and analyze high-speed digital signals from the FPGA pins to verify instruction execution cycles.",1,12.68,"https://www.amazon.com/-/es/Dispositivo-analizador-canales-depuración-Arduino/dp/B092ZR25W5/ref=sr_1_5?dib=eyJ2IjoiMSJ9.oHD_uCU2uqqE0FE8romXbK5llGKDg40wmyhGcFAMBD-Pdj6eh9Kh-wpv8zIvt3xooOWYdS2-aqcdb9dJ3S6WmvEXiolAHeR4pkW9Tcx6VIRQQX12MRbJtwSl9UMziDcl6-E8D61xBvGciFnwcGKbCGPha9E4XzbPD0r8Nt7ls4ANAFVACTOfY2V-4jANWVTOMXRYyThojVsb9zz9gJgctVingw-FidkPWgbgW_lOJpU.M4fr7mJU49Mpj1Zk64052RBUgnwdrsvgmkS-JvdFHeY&dib_tag=se&keywords=Digital+Logic+Analyzer+%288CH%2F24MHz%29&qid=1773501889&sr=8-5","Amazon "
"Sipeed Tang Primer 20K Dock Kit","Primary FPGA development board for physical hardware synthesis of the LX32 core. Required to move from simulation to real-world RTL verification.",1,61.14,"https://www.amazon.com/-/es/Sipeed-Tang-Primer-desarrollo-incorporados/dp/B0BP2CPCR3","Amazon"
